"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"181","sedgewick community press","2007-08-07","Line 4 project questions - hearing dates, intervenor deadlines; Clipper dates","Line 4 - Intervenor deadline is Aug 27; no hearing date set; Clipper hearing Nov 5, intervenor deadline extended","2007-08-13","",""
"182","cbc radio, iqualuit, nunavut","2007-08-14",".","Neb has no regulatory jurisdiction that has involved Nunavut - there are no interprovincial/territorial or international power lines or pipelines there.  There is a little bit of North analysis in some electricity reports (provided)  Also provided her some other leads on her story idea via the Territorial government","2007-08-14","",""
"183","financial post","2018-08-21","Potential upcoming Capacity Constraints on oil pipelines; Response to Transportation Report","Discussed Key Messages; coorNAME REMOVEDted interview","2007-08-21","",""
"184","native communications society","2007-08-28","wanted to know about online audio or phone-in audio of JRP hearings in Yellowknife","referred to NGPS web pages for JRP, tested online audio and then tried phone line.  Online audio could be heard, phone seemed to be a 'hold' with classical music.","2007-08-28","",""
"185","cbc french television - regina","2007-08-29","was looking ahead to fall hearing sequence in Brandon MB and interested in SAPL.  ","Showed him how to look at the intervenor directory on Reg Docs, and noted that he could probably learn more about SAPL by calling their lawyer.  Asked him to also please let me know if he / a camera planned to attend that hearing portion in Brandon.","2007-08-29","",""
"186","rigzone.com (houston) and associated e-publications","2007-09-05","interest in northern offshore development and undersea development - Beaufort & Arctic","consulted NAME REMOVED and emailed broad answers to client - no particular development underway or planned and NEB verifies seaworthiness of vessels as approved by ABS (USA) or DNV (Norway)","2007-09-04","",""
"187","guysborough journal","2007-09-07","Deep Panuke questions on stage of application, process, NEB involvement, what is considered in decision making","Marcus Eyre provided content and links to reports; KH spoke to reporter","2007-09-07","",""
"188","naopresse","2007-09-07","France service reporter based in Montreal.  He had general questions about energy sector in Canada, labour shortage challenges, technology, etc.","NAME REMOVED had a chat with him in French, while specifying it was not to be anything on the record or speaking on behalf of the National Energy Board and also gave him email references to other sources, incl. CERI, which produced a satisfactory interview for him","2007-09-07","refer to naopresse.com",""
"189","platts - washington d.c. office","2007-09-07","wanted to be added to distribution lists","NAME REMOVED has noted his name here and also in F: NAME REMOVED has expressed an interest in Natural Gas, so I have also added his name to the target list for the Nat Gas Deliverability EMA","2007-09-07","",""
"190","guysborough journal","2007-09-10","Deep Panuke questions on stage of application, process, NEB involvement, what is considered in decision making","Reviewed process; pointed him to Section 15 report online","10 Sept.","",""
"191","guysborough journal","","Deep Panuke story - questions on NEB process and stage of application","Deep Panuke story - confirmed that NEB is looking into pipeline aspects and potential environmental affects; advised NAME REMOVED to confimr CNSOPB role with them directly. ","11 Sept.","",""
"192","regina leader-post","2007-09-18","(Alberta Clipper) CAPLA / SAPL / MPLA meeting and their interest in ABANDONMENT","compiled Abandonment answers from Landowner guide 2003, and also Glenboro Q&A.  Got quick review (NAME REMOVED) and then sent written material to reporter.","2007-09-18","",""
"193","bloomberg","2007-09-13","Deep Panuke RFD","None.","","",""
"194","canadian economic press www.economicnews.ca","2007-09-20","wanted web stats re NGLs and Oil","discussed with NAME REMOVED and emailed avail resources back to inquirer","2007-09-20","rec'd positive feedback on the email i put together",""
"195","doigs digest","2007-09-20","was looking back for a 2003 NEB Alliance Decision, posisbly (but not likely) a news release","got help fr NAME REMOVED but we're not sure","2007-09-20","email reply - we need more details at neb",""
"196","reuters","2007-09-20","wondering where to get Keystone RFD release","Library, online, CNW","2007-09-20","",""
"197","bloomberg","2007-09-20","Keystone RFD comment","Read quote from news release","2007-09-20","",""
"198","energynews.com","2007-09-20","Keystone RFD comment","Provided summary of RFD from p. 57","2007-09-20","airing story 21 sept",""
"199","calgary herald","2007-09-21","Interview with new chair - Gaetan","CoorNAME REMOVEDted interview","2007-09-21","story ran sep 22",""
"200","reuters","2007-09-21","Bio facts on Gaetan","Provided details - age, bio location on website","2007-09-21","",""
"201","bloomberg","2007-09-25","Questions on Canadian Nat. Gas exports and production","Provided details as per NAME REMOVED & NAME REMOVED","N/A","",""
"202","big 103 radio (sait)","2007-09-25","Keystone RFD comment","Provided same quote as in news release","2007-09-25","",""
"203","globe and mail","2007-09-28","Gaetan Interview","Prepared extensively prior to interview with Q&A and Shael Gelfand training session for NAME REMOVED","2007-09-28","story ran oct 1 globe",""
"204","energynews.com","2007-09-28","Gaetan camera interview","","2007-09-28","",""
"205","cbc radio yellowknife/nwt","2007-10-02","Kulluk fatality","referred her to Transport Canada per responsible authority information in NAME REMOVED email of 1 October 2007","2007-10-02","",""
"206","oil and gas inquirer (june warren)","2007-10-02","brought to attention by Bharat Dixit.  This reporter, who has spoken with Bharat before, wants a broad overview of happenings and trends in Northern energy development","NAME REMOVED will do a call with him, NAME REMOVED to sit in","2007-10-02","",""
"207","calgary business magazine","2018-10-03","Looking for Oil Sands Report; May request interview","Provided link to Report; Offered interview with subject expert","N/A","",""
"208","oilweek magazine","2007-10-03","Interview with new chair - Gaetan","CoorNAME REMOVEDted interview","2007-10-05","andrew sat in and assessed that this was a comfortable and uncontroversial interview.  gaetan continued concern that he could be quoted saying something on mackenzie.  nothing unsafe was said and he bridged away from mackenzie to more general topic effectively.",""
"209","report on business magazine","2007-10-03","MGP facts - by email - wanted info on JRP schedule and inception date of Northern Gas Project Secretariat","easy info from web site and reference to NGPS backgrounder","2007-10-03","",""
"210","report on business magazine","2007-10-04","working on a sidebar timeline for R-O-B magazine article, was trying to get dates figured out.","NAME REMOVED referred broadly to waiting for a JRP report, having a Final Argument phase, then making a Decision.  NAME REMOVED was also fishing around about the rumours that TransCanada will buy out Imperial.  I have nothing on this and offered nothing, I truly only know what I read in the papers.  Also sent him a copy of 3 Oct NEB news release and a link to the 2002 Cooperation plan.","2007-10-04","",""
